question_id,system,blind_id,core_correctness,hallucination,semantic_fidelity,tfidf_cosine,char_length,dim_drug_choice,dim_deescalation_stop_rule,dim_interaction_contraindication,dim_route_formulation,dim_organ_function_adjustment,dim_titration_target,dim_monitoring_parameter,dim_drug_choice_severity,dim_deescalation_stop_rule_severity,dim_interaction_contraindication_severity,dim_route_formulation_severity,dim_organ_function_adjustment_severity,dim_titration_target_severity,dim_monitoring_parameter_severity,n_dose_mentions,n_omitted_but_needed,n_hallucinated_statements
E1,ChatICU,B016,fully_correct,0,80,0.2065159423970627,853,adequate,not_applicable,incorrect,adequate,adequate,incorrect,incorrect,,,Mild,,,Mild,Mild,0,3,0
E1,OpenEvidence,B165,partially_correct,1,40,0.1868895893034879,1410,unsafe,incorrect,incorrect,incorrect,adequate,incorrect,adequate,Severe,Mild,Moderate,Mild,,Moderate,,2,2,1
E2,ChatGPT,B094,fully_correct,0,88,0.4057050595763664,1403,adequate,not_applicable,adequate,incorrect,adequate,not_applicable,not_applicable,,,,Mild,,,,1,2,0
E2,ChatICU,B128,fully_correct,1,88,0.3389372642331922,965,adequate,not_applicable,adequate,adequate,incorrect,not_applicable,not_applicable,,,,,Mild,,,2,1,2
E2,OpenEvidence,B163,incorrect,1,30,0.3081799572725512,1275,unsafe,not_applicable,incorrect,incorrect,unsafe,not_applicable,incorrect,Severe,,Moderate,Moderate,Severe,,Mild,2,2,3
E3,ChatGPT,B038,partially_correct,1,55,0.3774574250747613,1334,adequate,not_applicable,adequate,adequate,incorrect,incorrect,adequate,,,,,Mild,Mild,,6,2,4
E3,ChatICU,B050,partially_correct,1,75,0.3548269410681103,986,adequate,not_applicable,adequate,adequate,incorrect,adequate,incorrect,,,,,Mild,,Mild,5,1,2
E3,OpenEvidence,B063,incorrect,1,30,0.186557150736156,1069,adequate,not_applicable,incorrect,adequate,unsafe,incorrect,adequate,,,Mild,,Severe,Moderate,,3,2,3
E4,ChatGPT,B197,partially_correct,1,55,0.1494605782366967,1925,adequate,adequate,adequate,adequate,adequate,incorrect,adequate,,,,,,Moderate,,7,3,1
E4,ChatICU,B077,partially_correct,1,60,0.21946198452746,1235,adequate,not_applicable,not_applicable,adequate,adequate,incorrect,adequate,,,,,,Moderate,,7,2,2
E4,OpenEvidence,B171,partially_correct,1,60,0.1657608049371836,2430,adequate,incorrect,incorrect,adequate,incorrect,incorrect,adequate,,Mild,Mild,,Moderate,Mild,,7,4,2
E5,ChatGPT,B013,fully_correct,0,92,0.1952562833816279,1758,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,adequate,,,,,,,,0,0,0
E5,ChatICU,B052,fully_correct,0,90,0.2026521146023318,918,adequate,not_applicable,not_applicable,not_applicable,adequate,adequate,adequate,,,,,,,,1,0,0
E5,OpenEvidence,B021,incorrect,1,40,0.3730103824167494,1069,not_applicable,not_applicable,not_applicable,not_applicable,incorrect,adequate,adequate,,,,,Moderate,,,0,1,2
E6,ChatGPT,B010,partially_correct,1,55,0.3067018474978061,1849,incorrect,adequate,adequate,adequate,adequate,incorrect,adequate,Mild,,,,,Mild,,4,6,3
E6,ChatICU,B022,fully_correct,1,88,0.430729355009254,1274,unsafe,adequate,incorrect,adequate,incorrect,adequate,adequate,Severe,,Moderate,,Moderate,,,8,0,4
E6,OpenEvidence,B088,partially_correct,1,55,0.2597211026735326,2662,adequate,adequate,incorrect,incorrect,adequate,adequate,adequate,,,Mild,Mild,,,,0,4,3
E7,ChatGPT,B174,fully_correct,0,100,0.2301861834210198,1140,adequate,adequate,not_applicable,adequate,not_applicable,not_applicable,adequate,,,,,,,,2,1,0
E7,ChatICU,B203,fully_correct,0,90,0.221474406745676,654,adequate,adequate,not_applicable,adequate,not_applicable,not_applicable,adequate,,,,,,,,1,1,0
E7,OpenEvidence,B125,incorrect,1,20,0.21113137138443,1173,adequate,incorrect,not_applicable,not_applicable,not_applicable,not_applicable,incorrect,,Moderate,,,,,Mild,3,2,3
E8,ChatGPT,B148,partially_correct,1,40,0.249689605326162,1808,adequate,not_applicable,not_applicable,incorrect,adequate,unsafe,adequate,,,,Mild,,Moderate,,6,3,2
E8,ChatICU,B020,partially_correct,0,85,0.2968192385571486,945,adequate,not_applicable,not_applicable,adequate,adequate,adequate,adequate,,,,,,,,6,0,0
E8,OpenEvidence,B191,incorrect,1,20,0.2429811301681581,822,adequate,not_applicable,incorrect,incorrect,unsafe,unsafe,adequate,,,Mild,Moderate,Moderate,Severe,,4,4,3
E9,ChatGPT,B192,fully_correct,1,78,0.2108827832453806,1406,adequate,not_applicable,adequate,adequate,not_applicable,not_applicable,incorrect,,,,,,,Mild,0,0,2
E9,ChatICU,B107,fully_correct,1,90,0.302799044079341,661,not_applicable,not_applicable,adequate,adequate,not_applicable,not_applicable,not_applicable,,,,,,,,0,0,1
E9,OpenEvidence,B023,fully_correct,1,80,0.0875513338064937,1020,not_applicable,not_applicable,adequate,adequate,not_applicable,not_applicable,not_applicable,,,,,,,,0,0,1
E10,ChatGPT,B075,incorrect,1,15,0.1491560688729045,1652,unsafe,adequate,incorrect,incorrect,incorrect,incorrect,adequate,Severe,,Moderate,Mild,Moderate,Mild,,4,2,2
E10,ChatICU,B058,fully_correct,0,92,0.1888302737559194,1201,adequate,adequate,incorrect,adequate,adequate,adequate,adequate,,,Mild,,,,,3,2,0
E10,OpenEvidence,B092,incorrect,1,10,0.0784491560030311,1997,unsafe,adequate,unsafe,not_applicable,incorrect,unsafe,adequate,Severe,,Severe,,Moderate,Severe,,3,2,2
E11,ChatGPT,B183,partially_correct,1,40,0.1647081508267665,2322,not_applicable,incorrect,incorrect,not_applicable,adequate,not_applicable,adequate,,Moderate,Moderate,,,,,0,2,3
E11,ChatICU,B143,fully_correct,1,90,0.2647660799867093,1303,not_applicable,adequate,adequate,not_applicable,adequate,not_applicable,adequate,,,,,,,,0,0,1
E11,OpenEvidence,B100,incorrect,1,15,0.1984397163203765,1018,not_applicable,incorrect,unsafe,not_applicable,not_applicable,not_applicable,incorrect,,Moderate,Severe,,,,Moderate,0,2,4
E12,ChatGPT,B177,fully_correct,0,92,0.3398624626779952,1476,adequate,adequate,adequate,adequate,not_applicable,not_applicable,adequate,,,,,,,,1,0,0
E12,ChatICU,B179,fully_correct,0,98,0.4333312621539683,839,adequate,not_applicable,not_applicable,adequate,not_applicable,not_applicable,adequate,,,,,,,,3,0,0
E12,OpenEvidence,B115,partially_correct,1,65,0.2915800340218648,2355,adequate,not_applicable,not_applicable,adequate,not_applicable,not_applicable,adequate,,,,,,,,1,1,3
E13,ChatGPT,B170,partially_correct,1,65,0.3286080010765525,1738,adequate,adequate,adequate,adequate,not_applicable,incorrect,adequate,,,,,,Mild,,2,2,1
E13,ChatICU,B142,partially_correct,1,55,0.2134063924648894,996,adequate,incorrect,incorrect,adequate,not_applicable,incorrect,adequate,,Moderate,Mild,,,Moderate,,3,2,2
E13,OpenEvidence,B157,partially_correct,1,55,0.1418776530827306,513,adequate,incorrect,adequate,adequate,incorrect,incorrect,adequate,,Mild,,,Moderate,Mild,,2,3,2
E14,ChatGPT,B032,fully_correct,0,85,0.2736641713046452,1759,adequate,adequate,adequate,not_applicable,adequate,incorrect,adequate,,,,,,Mild,,0,3,0
E14,ChatICU,B140,fully_correct,0,85,0.3308566952342062,1523,adequate,adequate,adequate,adequate,adequate,adequate,adequate,,,,,,,,2,1,0
E14,OpenEvidence,B112,fully_correct,0,92,0.2911361203609097,4175,adequate,adequate,adequate,adequate,adequate,adequate,adequate,,,,,,,,1,2,0
E15,ChatGPT,B090,partially_correct,1,55,0.2560558895843918,1283,adequate,incorrect,adequate,adequate,not_applicable,incorrect,adequate,,Mild,,,,Mild,,2,2,1
E15,ChatICU,B133,fully_correct,0,98,0.3465412317461264,1179,adequate,adequate,not_applicable,adequate,incorrect,incorrect,adequate,,,,,Mild,Mild,,5,0,0
E15,OpenEvidence,B055,partially_correct,1,45,0.1095323755267146,596,adequate,not_applicable,adequate,incorrect,incorrect,adequate,adequate,,,,Mild,Mild,,,1,3,1
