question_id,system,blind_id,mention_id,mention_type,drug,class,severity_label
C8,OpenEvidence,B151,B151-O03,omitted,cisatracurium,omitted_but_needed,
C8,OpenEvidence,B151,B151-O04,omitted,cisatracurium,omitted_but_needed,
C9,ChatGPT,B102,B102-M01,stated,cisatracurium,imprecise,
C9,ChatGPT,B102,B102-M02,stated,cisatracurium,imprecise,
C9,ChatGPT,B102,B102-M03,stated,cisatracurium,imprecise,
C9,ChatGPT,B102,B102-O01,omitted,cisatracurium,omitted_but_needed,
C9,ChatICU,B152,B152-M01,stated,cisatracurium,correct,
C9,ChatICU,B152,B152-M02,stated,cisatracurium,correct,
C9,ChatICU,B152,B152-O01,omitted,cisatracurium,omitted_but_needed,
C9,OpenEvidence,B097,B097-M01,stated,cisatracurium,imprecise,
C9,OpenEvidence,B097,B097-M02,stated,cisatracurium,incorrect,Mild
C9,OpenEvidence,B097,B097-M03,stated,cisatracurium TOF監測頻率,incorrect,Moderate
C9,OpenEvidence,B097,B097-O01,omitted,cisatracurium,omitted_but_needed,
C9,OpenEvidence,B097,B097-O02,omitted,cisatracurium,omitted_but_needed,
C9,OpenEvidence,B097,B097-O03,omitted,cisatracurium,omitted_but_needed,
C12,ChatGPT,B162,B162-M01,stated,cisatracurium,imprecise,
C12,ChatGPT,B162,B162-M02,stated,cisatracurium,imprecise,
C12,ChatGPT,B162,B162-O01,omitted,cisatracurium,omitted_but_needed,
C12,ChatGPT,B162,B162-O02,omitted,midazolam,omitted_but_needed,
C12,ChatICU,B081,B081-M01,stated,Midazolam,correct,
C12,ChatICU,B081,B081-M02,stated,Fentanyl,correct,
C12,ChatICU,B081,B081-M03,stated,Cisatracurium,correct,
C12,OpenEvidence,B138,B138-M01,stated,midazolam,imprecise,
C12,OpenEvidence,B138,B138-M02,stated,midazolam,incorrect,Mild
C12,OpenEvidence,B138,B138-M03,stated,fentanyl,imprecise,
C12,OpenEvidence,B138,B138-M04,stated,fentanyl,incorrect,Mild
C12,OpenEvidence,B138,B138-M05,stated,cisatracurium,correct,
C12,OpenEvidence,B138,B138-M06,stated,cisatracurium,correct,
C13,ChatGPT,B035,B035-O01,omitted,Nimbex (cisatracurium),omitted_but_needed,
C13,ChatICU,B078,B078-O01,omitted,Nimbex (cisatracurium),omitted_but_needed,
C13,OpenEvidence,B160,B160-M01,stated,Nimbex/cisatracurium (健保給付時限),unsafe,Severe
C13,OpenEvidence,B160,B160-M02,stated,cisatracurium (TOF監測目標),imprecise,
C13,OpenEvidence,B160,B160-O01,omitted,Nimbex,omitted_but_needed,
C14,ChatICU,B108,B108-M01,stated,midazolam/fentanyl,imprecise,
C14,ChatICU,B108,B108-M02,stated,RASS/疼痛評估,imprecise,
C14,ChatICU,B108,B108-M03,stated,midazolam,imprecise,
C14,ChatICU,B108,B108-O01,omitted,Fentanyl+Midazolam,omitted_but_needed,
C14,OpenEvidence,B064,B064-O01,omitted,hydrocortisone + NMBA (cisatracurium),omitted_but_needed,
C14,OpenEvidence,B064,B064-O02,omitted,fluconazole + fentanyl,omitted_but_needed,
C15,ChatGPT,B168,B168-M01,stated,midazolam,imprecise,
C15,ChatGPT,B168,B168-M02,stated,fentanyl,imprecise,
C15,ChatGPT,B168,B168-M03,stated,RASS目標,correct,
C15,ChatGPT,B168,B168-O01,omitted,heparin,omitted_but_needed,
C15,ChatGPT,B168,B168-O02,omitted,pantoprazole,omitted_but_needed,
C15,ChatGPT,B168,B168-O03,omitted,metoclopramide,omitted_but_needed,
C15,ChatICU,B067,B067-M01,stated,hydrocortisone,incorrect,Mild
C15,ChatICU,B067,B067-M02,stated,fluconazole,imprecise,
C15,OpenEvidence,B149,B149-M01,stated,cisatracurium (TOF),imprecise,
C15,OpenEvidence,B149,B149-O01,omitted,hydrocortisone,omitted_but_needed,
C15,OpenEvidence,B149,B149-O02,omitted,heparin,omitted_but_needed,
C16,ChatGPT,B103,B103-O01,omitted,fluconazole,omitted_but_needed,
C16,ChatGPT,B103,B103-O02,omitted,flumazenil,omitted_but_needed,
C16,ChatICU,B072,B072-M01,stated,fluconazole,imprecise,
C16,ChatICU,B072,B072-O01,omitted,flumazenil,omitted_but_needed,
C16,OpenEvidence,B033,B033-M01,stated,血糖目標,imprecise,
C16,OpenEvidence,B033,B033-M02,stated,flumazenil,imprecise,
C16,OpenEvidence,B033,B033-O01,omitted,fluconazole,omitted_but_needed,
C16,OpenEvidence,B033,B033-O02,omitted,flumazenil,omitted_but_needed,
E1,ChatGPT,B008,B008-M01,stated,fentanyl,imprecise,
E1,ChatGPT,B008,B008-M02,stated,dexmedetomidine,unsafe,Severe
E1,ChatGPT,B008,B008-O01,omitted,propofol,omitted_but_needed,
E1,ChatGPT,B008,B008-O02,omitted,pain score/RASS score評估頻率,omitted_but_needed,
E1,ChatICU,B016,B016-O01,omitted,dexmedetomidine,omitted_but_needed,
E1,ChatICU,B016,B016-O02,omitted,acetaminophen/ketamine,omitted_but_needed,
E1,ChatICU,B016,B016-O03,omitted,RASS score,omitted_but_needed,
E1,OpenEvidence,B165,B165-M01,stated,acetaminophen,imprecise,
E1,OpenEvidence,B165,B165-M02,stated,quetiapine,unsafe,Severe
E1,OpenEvidence,B165,B165-O01,omitted,propofol,omitted_but_needed,
E1,OpenEvidence,B165,B165-O02,omitted,fentanyl,omitted_but_needed,
E2,ChatGPT,B094,B094-M01,stated,CLcr,correct,
E2,ChatGPT,B094,B094-O01,omitted,Tramadol,omitted_but_needed,
E2,ChatGPT,B094,B094-O02,omitted,Meperidine,omitted_but_needed,
E2,ChatICU,B128,B128-M01,stated,meperidine代謝物normeperidine半衰期,imprecise,
E2,ChatICU,B128,B128-M02,stated,tramadol/其代謝物腎功能參考值,incorrect,Mild
E2,ChatICU,B128,B128-O01,omitted,meperidine,omitted_but_needed,
E2,OpenEvidence,B163,B163-M01,stated,Tramadol,unsafe,Severe
E2,OpenEvidence,B163,B163-M02,stated,Tramadol/creatinine clearance,unsafe,Severe
E2,OpenEvidence,B163,B163-O01,omitted,Tramadol,omitted_but_needed,
E2,OpenEvidence,B163,B163-O02,omitted,Fentanyl/Morphine/Remifentanil/Hydromorphone,omitted_but_needed,
E3,ChatGPT,B038,B038-M01,stated,acetaminophen (IV),incorrect,Mild
E3,ChatGPT,B038,B038-M02,stated,acetaminophen (IV),imprecise,
E3,ChatGPT,B038,B038-M03,stated,acetaminophen (IV),imprecise,
E3,ChatGPT,B038,B038-M04,stated,acetaminophen (IV),incorrect,Mild
E3,ChatGPT,B038,B038-M05,stated,pregabalin (PO),incorrect,Mild
E3,ChatGPT,B038,B038-M06,stated,pregabalin (PO),correct,
E3,ChatGPT,B038,B038-O01,omitted,acetaminophen (IV),omitted_but_needed,
E3,ChatGPT,B038,B038-O02,omitted,pregabalin (PO),omitted_but_needed,
E3,ChatICU,B050,B050-M01,stated,acetaminophen (IV),correct,
E3,ChatICU,B050,B050-M02,stated,acetaminophen (IV),imprecise,
E3,ChatICU,B050,B050-M03,stated,pregabalin (PO),correct,
E3,ChatICU,B050,B050-M04,stated,pregabalin (PO),correct,
E3,ChatICU,B050,B050-M05,stated,pregabalin (PO),incorrect,Mild
E3,ChatICU,B050,B050-O01,omitted,acetaminophen (IV),omitted_but_needed,
E3,OpenEvidence,B063,B063-M01,stated,acetaminophen (IV),imprecise,
E3,OpenEvidence,B063,B063-M02,stated,pregabalin (PO),unsafe,Moderate
E3,OpenEvidence,B063,B063-M03,stated,pregabalin (PO),unsafe,Severe
E3,OpenEvidence,B063,B063-O01,omitted,pregabalin (PO),omitted_but_needed,
E3,OpenEvidence,B063,B063-O02,omitted,acetaminophen (IV),omitted_but_needed,
E4,ChatGPT,B197,B197-M01,stated,Fentanyl,incorrect,Moderate
E4,ChatGPT,B197,B197-M02,stated,Fentanyl,incorrect,Moderate
E4,ChatGPT,B197,B197-M03,stated,Fentanyl,correct,
E4,ChatGPT,B197,B197-M04,stated,Fentanyl,incorrect,Mild
E4,ChatGPT,B197,B197-M05,stated,Propofol,imprecise,
E4,ChatGPT,B197,B197-M06,stated,Propofol,imprecise,
E4,ChatGPT,B197,B197-M07,stated,Propofol,imprecise,
E4,ChatGPT,B197,B197-O01,omitted,Fentanyl,omitted_but_needed,
E4,ChatGPT,B197,B197-O02,omitted,Fentanyl,omitted_but_needed,
E4,ChatGPT,B197,B197-O03,omitted,Propofol,omitted_but_needed,
E4,ChatICU,B077,B077-M01,stated,Fentanyl,imprecise,
E4,ChatICU,B077,B077-M02,stated,Fentanyl,correct,
E4,ChatICU,B077,B077-M03,stated,Fentanyl,correct,
E4,ChatICU,B077,B077-M04,stated,Fentanyl,correct,
E4,ChatICU,B077,B077-M05,stated,Propofol,imprecise,
E4,ChatICU,B077,B077-M06,stated,Propofol,correct,
E4,ChatICU,B077,B077-M07,stated,Propofol,unsafe,Moderate
E4,ChatICU,B077,B077-O01,omitted,Propofol,omitted_but_needed,
E4,ChatICU,B077,B077-O02,omitted,Fentanyl,omitted_but_needed,
E4,OpenEvidence,B171,B171-M01,stated,Fentanyl,imprecise,
E4,OpenEvidence,B171,B171-M02,stated,Fentanyl,imprecise,
E4,OpenEvidence,B171,B171-M03,stated,Fentanyl,correct,
E4,OpenEvidence,B171,B171-M04,stated,Propofol,correct,
E4,OpenEvidence,B171,B171-M05,stated,Propofol,correct,
E4,OpenEvidence,B171,B171-M06,stated,Propofol,correct,
E4,OpenEvidence,B171,B171-M07,stated,Propofol,correct,
E4,OpenEvidence,B171,B171-O01,omitted,Fentanyl,omitted_but_needed,
E4,OpenEvidence,B171,B171-O02,omitted,Fentanyl,omitted_but_needed,
E4,OpenEvidence,B171,B171-O03,omitted,Propofol,omitted_but_needed,
E4,OpenEvidence,B171,B171-O04,omitted,Propofol,omitted_but_needed,
E5,ChatICU,B052,B052-M01,stated,Fentanyl/Propofol（滴定評估間隔）,imprecise,
E5,OpenEvidence,B021,B021-O01,omitted,Fentanyl,omitted_but_needed,
E6,ChatGPT,B010,B010-M01,stated,Triglyceride monitoring frequency,imprecise,
E6,ChatGPT,B010,B010-M02,stated,Triglyceride threshold,correct,
E6,ChatGPT,B010,B010-M03,stated,Propofol PRIS劇量閾值,imprecise,
E6,ChatGPT,B010,B010-M04,stated,Propofol PRIS輸注時間閾值,imprecise,
E6,ChatGPT,B010,B010-O01,omitted,Fentanyl,omitted_but_needed,
E6,ChatGPT,B010,B010-O02,omitted,Fentanyl,omitted_but_needed,
E6,ChatGPT,B010,B010-O03,omitted,Fentanyl便秘,omitted_but_needed,
E6,ChatGPT,B010,B010-O04,omitted,Propofol,omitted_but_needed,
E6,ChatGPT,B010,B010-O05,omitted,Propofol,omitted_but_needed,
E6,ChatGPT,B010,B010-O06,omitted,Fentanyl/Propofol譫妄,omitted_but_needed,
E6,ChatICU,B022,B022-M01,stated,Metoclopramide,correct,
E6,ChatICU,B022,B022-M02,stated,Ondansetron,correct,
E6,ChatICU,B022,B022-M03,stated,晶體輸液,correct,
E6,ChatICU,B022,B022-M04,stated,Succinylcholine,unsafe,Severe
E6,ChatICU,B022,B022-M05,stated,Rocuronium,correct,
E6,ChatICU,B022,B022-M06,stated,Lidocaine,correct,
E6,ChatICU,B022,B022-M07,stated,Triglyceride監測,correct,
E6,ChatICU,B022,B022-M08,stated,Propofol,imprecise,
E6,OpenEvidence,B088,B088-O01,omitted,Senna/Bisacodyl+Lactulose,omitted_but_needed,
E6,OpenEvidence,B088,B088-O02,omitted,Metoclopramide/Ondansetron,omitted_but_needed,
E6,OpenEvidence,B088,B088-O03,omitted,Lidocaine,omitted_but_needed,
E6,OpenEvidence,B088,B088-O04,omitted,Rocuronium/Naloxone,omitted_but_needed,
E7,ChatGPT,B174,B174-M01,stated,Propofol,correct,
E7,ChatGPT,B174,B174-M02,stated,Propofol,correct,
E7,ChatGPT,B174,B174-O01,omitted,Propofol,omitted_but_needed,
E7,ChatICU,B203,B203-M01,stated,Propofol,correct,
E7,ChatICU,B203,B203-O01,omitted,Propofol,omitted_but_needed,
E7,OpenEvidence,B125,B125-M01,stated,Propofol（未稀釋，開封後）,unsafe,Moderate
E7,OpenEvidence,B125,B125-M02,stated,Propofol（Y-site混合情境）,incorrect,Mild
E7,OpenEvidence,B125,B125-M03,stated,Propofol,incorrect,Mild
E7,OpenEvidence,B125,B125-O01,omitted,Propofol,omitted_but_needed,
E7,OpenEvidence,B125,B125-O02,omitted,Propofol（稀釋後）,omitted_but_needed,
E8,ChatGPT,B148,B148-M01,stated,cisatracurium,unsafe,Moderate
E8,ChatGPT,B148,B148-M02,stated,cisatracurium,imprecise,
E8,ChatGPT,B148,B148-M03,stated,cisatracurium,imprecise,
E8,ChatGPT,B148,B148-M04,stated,cisatracurium,unsafe,Moderate
E8,ChatGPT,B148,B148-M05,stated,cisatracurium,unsafe,Moderate
E8,ChatGPT,B148,B148-M06,stated,cisatracurium,correct,
E8,ChatGPT,B148,B148-O01,omitted,cisatracurium,omitted_but_needed,
E8,ChatGPT,B148,B148-O02,omitted,Nimbex稀釋配置,omitted_but_needed,
E8,ChatGPT,B148,B148-O03,omitted,cisatracurium,omitted_but_needed,
E8,ChatICU,B020,B020-M01,stated,Cisatracurium (Nimbex),correct,
E8,ChatICU,B020,B020-M02,stated,Cisatracurium (Nimbex),correct,
E8,ChatICU,B020,B020-M03,stated,Cisatracurium (Nimbex),correct,
E8,ChatICU,B020,B020-M04,stated,Nimbex 原液,correct,
E8,ChatICU,B020,B020-M05,stated,Nimbex 稀釋液,imprecise,
E8,ChatICU,B020,B020-M06,stated,Nimbex 稀釋液,correct,
E8,OpenEvidence,B191,B191-M01,stated,cisatracurium (Nimbex),imprecise,
E8,OpenEvidence,B191,B191-M02,stated,cisatracurium (Nimbex),unsafe,Severe
E8,OpenEvidence,B191,B191-M03,stated,cisatracurium (Nimbex),unsafe,Severe
E8,OpenEvidence,B191,B191-M04,stated,cisatracurium (Nimbex),imprecise,
E8,OpenEvidence,B191,B191-O01,omitted,cisatracurium,omitted_but_needed,
E8,OpenEvidence,B191,B191-O02,omitted,cisatracurium,omitted_but_needed,
E8,OpenEvidence,B191,B191-O03,omitted,Nimbex稀釋液,omitted_but_needed,
E8,OpenEvidence,B191,B191-O04,omitted,鎮靜/止痛評估,omitted_but_needed,
E10,ChatGPT,B075,B075-M01,stated,ketamine,unsafe,Severe
E10,ChatGPT,B075,B075-M02,stated,ketamine,unsafe,Severe
E10,ChatGPT,B075,B075-M03,stated,ketamine,unsafe,Severe
E10,ChatGPT,B075,B075-M04,stated,midazolam,imprecise,
E10,ChatGPT,B075,B075-O01,omitted,midazolam,omitted_but_needed,
E10,ChatGPT,B075,B075-O02,omitted,midazolam,omitted_but_needed,
E10,ChatICU,B058,B058-M01,stated,midazolam,imprecise,
E10,ChatICU,B058,B058-M02,stated,midazolam,correct,
E10,ChatICU,B058,B058-M03,stated,midazolam,correct,
E10,ChatICU,B058,B058-O01,omitted,midazolam,omitted_but_needed,
E10,ChatICU,B058,B058-O02,omitted,midazolam,omitted_but_needed,
E10,OpenEvidence,B092,B092-M01,stated,dexmedetomidine,unsafe,Severe
E10,OpenEvidence,B092,B092-M02,stated,dexmedetomidine,unsafe,Severe
E10,OpenEvidence,B092,B092-M03,stated,midazolam,imprecise,
E10,OpenEvidence,B092,B092-O01,omitted,midazolam,omitted_but_needed,
E10,OpenEvidence,B092,B092-O02,omitted,dexmedetomidine,omitted_but_needed,
E11,ChatGPT,B183,B183-O01,omitted,Remdesivir,omitted_but_needed,
E11,ChatGPT,B183,B183-O02,omitted,Hydrocortisone + Cisatracurium,omitted_but_needed,
E11,OpenEvidence,B100,B100-O01,omitted,Remdesivir/Fentanyl/Midazolam,omitted_but_needed,
E11,OpenEvidence,B100,B100-O02,omitted,Hydrocortisone/Cisatracurium,omitted_but_needed,
E12,ChatGPT,B177,B177-M01,stated,人工淚液,imprecise,
E12,ChatICU,B179,B179-M01,stated,人工淚液/角膜潤滑軟膏,correct,
E12,ChatICU,B179,B179-M02,stated,角膜潤滑軟膏效果持續時間,imprecise,
E12,ChatICU,B179,B179-M03,stated,角膜上皮缺損發生時間,imprecise,
E12,OpenEvidence,B115,B115-M01,stated,人工淚液/潤滑劑,imprecise,
E12,OpenEvidence,B115,B115-O01,omitted,角膜潤滑軟膏/人工淚液,omitted_but_needed,
E13,ChatGPT,B170,B170-M01,stated,cisatracurium,correct,
E13,ChatGPT,B170,B170-M02,stated,cisatracurium,incorrect,Mild
E13,ChatGPT,B170,B170-O01,omitted,cisatracurium,omitted_but_needed,
E13,ChatGPT,B170,B170-O02,omitted,電解質矯正項目,omitted_but_needed,
E13,ChatICU,B142,B142-M01,stated,cisatracurium,incorrect,Mild
E13,ChatICU,B142,B142-M02,stated,cisatracurium,correct,
E13,ChatICU,B142,B142-M03,stated,cisatracurium,correct,
E13,ChatICU,B142,B142-O01,omitted,cisatracurium,omitted_but_needed,
E13,ChatICU,B142,B142-O02,omitted,cisatracurium,omitted_but_needed,
E13,OpenEvidence,B157,B157-M01,stated,cisatracurium,imprecise,
E13,OpenEvidence,B157,B157-M02,stated,cisatracurium,correct,
E13,OpenEvidence,B157,B157-O01,omitted,鎮靜藥物(非NMBA本身),omitted_but_needed,
E13,OpenEvidence,B157,B157-O02,omitted,cisatracurium/TOF監測目標,omitted_but_needed,
E13,OpenEvidence,B157,B157-O03,omitted,電解質/代謝異常矯正,omitted_but_needed,
E14,ChatGPT,B032,B032-O01,omitted,dexmedetomidine,omitted_but_needed,
E14,ChatGPT,B032,B032-O02,omitted,haloperidol,omitted_but_needed,
E14,ChatGPT,B032,B032-O03,omitted,quetiapine,omitted_but_needed,
E14,ChatICU,B140,B140-M01,stated,haloperidol,correct,
E14,ChatICU,B140,B140-M02,stated,quetiapine,correct,
E14,ChatICU,B140,B140-O01,omitted,dexmedetomidine,omitted_but_needed,
E14,OpenEvidence,B112,B112-M01,stated,dexmedetomidine,imprecise,
E14,OpenEvidence,B112,B112-O01,omitted,haloperidol,omitted_but_needed,
E14,OpenEvidence,B112,B112-O02,omitted,quetiapine,omitted_but_needed,
E15,ChatGPT,B090,B090-M01,stated,dexmedetomidine,incorrect,Mild
E15,ChatGPT,B090,B090-M02,stated,dexmedetomidine,incorrect,Mild
E15,ChatGPT,B090,B090-O01,omitted,dexmedetomidine,omitted_but_needed,
E15,ChatGPT,B090,B090-O02,omitted,dexmedetomidine,omitted_but_needed,
E15,ChatICU,B133,B133-M01,stated,dexmedetomidine,correct,
E15,ChatICU,B133,B133-M02,stated,dexmedetomidine,correct,
E15,ChatICU,B133,B133-M03,stated,dexmedetomidine,correct,
E15,ChatICU,B133,B133-M04,stated,dexmedetomidine,correct,
E15,ChatICU,B133,B133-M05,stated,dexmedetomidine,imprecise,
E15,OpenEvidence,B055,B055-M01,stated,dexmedetomidine,imprecise,
E15,OpenEvidence,B055,B055-O01,omitted,dexmedetomidine,omitted_but_needed,
E15,OpenEvidence,B055,B055-O02,omitted,dexmedetomidine,omitted_but_needed,
E15,OpenEvidence,B055,B055-O03,omitted,dexmedetomidine（健保給付規範）,omitted_but_needed,
